x,y
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7120.0
